date,time,tweets
Feb. 11,8:24 a.m.,"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!"
Feb. 11,8:33 a.m.,"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!"
Feb. 11,1:28 p.m.,Having a great time hosting Prime Minister Shinzo Abe in the United States! facebook.com/DonaldTrump/po... www.instagram.com/p/BQYZ8n8Dtty/
Feb. 11,6:00 p.m.,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!"
,6:07 p.m.,"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
Feb. 11,6:15 p.m.,"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
Feb. 11,6:24 p.m.,"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!"
Feb. 11,10:23 p.m., RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: youtube.com/wa...
Feb. 12,12:02 a.m., #ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea.
Feb. 12,6:34 a.m.,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers & others are being removed!"
Feb. 12,6:55 a.m.,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA & YEMEN"
Feb. 12,7:14 a.m.,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!"
Feb. 12,8:04 a.m.,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L"
Feb. 12,8:23 a.m.,I know Mark Cuban well. He backed me big-time but I wasn’t interested in taking all of his calls.He’s not smart enough to run for president!
Feb. 12,10:41 a.m.,
Feb. 12,5:19 p.m.,
Feb. 13,10:53 a.m., Today I will meet with Canada PM Trudeau and a group of leading business women to discuss women in the workforce. bigstory.ap.org/arti…
Feb. 13,11:59 a.m., Welcome to the @WhiteHouse Prime Minister @JustinTrudeau!
Feb. 13,1:50 p.m.,Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO’s & business women from Canada and and the United States
Feb. 13,9:57 p.m.,Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here:  facebook.com/DonaldTrump/po…
Feb. 13,10:30 p.m., Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect our country!
Feb. 14,9:28 a.m.,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?
Feb. 14,3:21 p.m.,Great parent-teacher listening session this morning with @VP Pence & @usedgov Secretary @BetsyDeVos. Watch: youtube.com/watch?v=opufN8…
Feb. 14,4:48 p.m.,‘Remarks by President Trump at Signing of H.J. Resolution 41’ whitehouse.gov/the-press-offi…
Feb. 14,5:50 p.m.,"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace & save healthcare for ALL Americans. origin-nyi.thehill.com/policy/healthc…"
Feb. 15,6:40 a.m.,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC & @CNN are unwatchable. @foxandfriends is great!
Feb. 15,7:19 a.m.,Information is being illegally given to the failing @nytimes & @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia
Feb. 15,7:28 a.m.,Thank you to Eli Lake of The Bloomberg View - “The NSA & FBI...should not interfere in our politics...and is” Very serious situation for USA
Feb. 15,7:42 a.m.,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?
Feb. 15,8:13 a.m.,The real scandal here is that classified information is illegally given out by “intelligence” like candy. Very un-American!
Feb. 15,,ening session with CEO’s of the Retail Industry Leaders Association this morning!
Feb. 15,2:17 p.m.,"Welcome to the United States, @IsraeliPM Benjamin & Sara! #ICYMI Joint Press Conference: facebook.com/DonaldTrump/po…"
Feb. 15,2:45 p.m.,Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport! Tickets: bit.ly/2lQarqaFLORIDA
Feb. 15,4:34 p.m.,Aetna CEO: Obamacare in ‘Death Spiral’ #RepealAndReplace bloomberg.com/ne…
Feb. 15,6:59 p.m.,"Venezuela should allow Leopoldo Lopez, a political prisoner & husband of @liliantintori (just met w/ @marcorubio) out of prison immediately."
Feb. 16,6:34 a.m.,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!
Feb. 16,6:58 a.m.,"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!"
Feb. 16,7:02 a.m.,The spotlight has finally been put on the low-life leakers! They will be caught!
Feb. 16,9:10 a.m.,"FAKE NEWS media, which makes up stories and “sources,” is far more effective than the discredited Democrats - but they are fading fast!"
Feb. 16,9:39 a.m.,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!"
Feb. 16,6:44 p.m.,‘Trump signs bill undoing Obama coal mining rule’ thehill.com/poli...
Feb. 17,5:13 a.m.,"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!"
Feb. 17,6:38 a.m.,"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it."
Feb. 17,6:43 a.m.,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!
Feb. 17,8:16 a.m.,"General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others."
Feb. 17,10:34 a.m., Join me at 11:00am: Watch here: 45.wh.gov/XYQXNw
,4:32 p.m.,"The FAKE NEWS media (failing @nytimes, @CNN, @NBCNews and many more) is not my enemy, it is the enemy of the American people. SICK!"
Feb. 17,6:15 p.m.,“One of the most effective press conferences I’ve ever seen!” says Rush Limbaugh. Many agree.Yet FAKE MEDIA calls it differently! Dishonest
Feb. 17,7:02 p.m.,Looking forward to the Florida rally tomorrow. Big crowd expected!
Feb. 18,8:31 a.m.,Don’t believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS  and am in the process of fixing it.
Feb. 18,8:51 a.m.,"Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!"
